value_id,attribute_id,store_id,row_id,entity,value,brand-name,category_id,brand-name,QUERRY
135682,157,0,297,254,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,254);"
135683,157,0,298,255,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,255);"
135684,157,0,299,256,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,256);"
135685,157,0,300,257,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,257);"
135686,157,0,301,258,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,258);"
135687,157,0,302,259,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,259);"
135688,157,0,303,260,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,260);"
3467,157,0,304,261,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,261);"
3477,157,0,305,262,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,262);"
3486,157,0,306,263,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,263);"
3496,157,0,307,264,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,264);"
3506,157,0,308,265,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,265);"
24926,157,0,309,266,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,266);"
24927,157,0,310,267,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,267);"
24928,157,0,311,268,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,268);"
24929,157,0,312,269,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,269);"
24930,157,0,313,270,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,270);"
24931,157,0,314,271,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,271);"
135689,157,0,315,272,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,272);"
135690,157,0,316,273,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,273);"
135691,157,0,317,274,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,274);"
135692,157,0,318,275,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,275);"
135693,157,0,319,276,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,276);"
135694,157,0,320,277,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,277);"
135695,157,0,321,278,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,278);"
135696,157,0,322,279,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,279);"
135697,157,0,323,280,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,280);"
135698,157,0,324,281,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,281);"
135699,157,0,325,282,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,282);"
135700,157,0,326,283,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,283);"
135701,157,0,327,284,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,284);"
135702,157,0,328,285,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,285);"
135703,157,0,329,286,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,286);"
135704,157,0,330,287,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,287);"
135705,157,0,331,288,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,288);"
135706,157,0,332,289,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,289);"
135707,157,0,333,290,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,290);"
135708,157,0,334,291,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,291);"
135709,157,0,335,292,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,292);"
135710,157,0,336,293,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,293);"
135711,157,0,337,294,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,294);"
135712,157,0,338,295,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,295);"
135713,157,0,339,296,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,296);"
135714,157,0,340,297,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,297);"
3835,157,0,341,298,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,298);"
3845,157,0,342,299,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,299);"
3855,157,0,343,300,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,300);"
135715,157,0,344,301,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,301);"
135716,157,0,345,302,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,302);"
135717,157,0,346,303,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,303);"
135763,157,0,347,304,20,ABU GARCIA,283,ABU GARCIA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (283,304);"
135764,157,0,348,305,20,ABU GARCIA,283,ABU GARCIA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (283,305);"
135765,157,0,350,306,20,ABU GARCIA,283,ABU GARCIA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (283,306);"
135766,157,0,351,307,20,ABU GARCIA,283,ABU GARCIA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (283,307);"
135767,157,0,352,308,20,ABU GARCIA,283,ABU GARCIA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (283,308);"
3986,157,0,355,309,20,ABU GARCIA,283,ABU GARCIA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (283,309);"
24605,157,0,357,310,20,ABU GARCIA,283,ABU GARCIA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (283,310);"
24606,157,0,358,311,20,ABU GARCIA,283,ABU GARCIA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (283,311);"
24607,157,0,359,312,20,ABU GARCIA,283,ABU GARCIA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (283,312);"
24608,157,0,360,313,20,ABU GARCIA,283,ABU GARCIA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (283,313);"
24609,157,0,361,314,20,ABU GARCIA,283,ABU GARCIA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (283,314);"
136086,157,0,362,315,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,315);"
136087,157,0,363,316,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,316);"
136088,157,0,364,317,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,317);"
136089,157,0,365,318,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,318);"
136090,157,0,366,319,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,319);"
136091,157,0,367,320,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,320);"
136092,157,0,368,321,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,321);"
136093,157,0,369,322,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,322);"
136094,157,0,370,323,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,323);"
136095,157,0,371,324,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,324);"
24971,157,0,372,325,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,325);"
24972,157,0,373,326,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,326);"
24973,157,0,374,327,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,327);"
24974,157,0,375,328,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,328);"
4210,157,0,376,329,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,329);"
